event_id,customer_id,event_date,event_type,plan,mrr_amount
359,CUST00235,2025-02-08,upgrade,Enterprise,499
360,CUST00236,2024-07-19,signup,Pro,99
361,CUST00237,2024-11-30,signup,Enterprise,499
362,CUST00238,2023-02-10,signup,Basic,29
363,CUST00238,2023-12-07,upgrade,Pro,99
364,CUST00238,2025-03-01,cancel,Pro,0
365,CUST00239,2024-11-15,signup,Basic,29
366,CUST00239,2025-01-14,cancel,Basic,0
367,CUST00240,2025-06-25,signup,Enterprise,499
368,CUST00241,2023-09-20,signup,Pro,99
369,CUST00242,2024-03-21,signup,Enterprise,499
370,CUST00242,2024-06-19,downgrade,Pro,99
371,CUST00242,2024-10-17,upgrade,Enterprise,499
372,CUST00243,2023-01-07,signup,Pro,99
373,CUST00243,2023-02-06,upgrade,Enterprise,499
374,CUST00243,2025-02-25,cancel,Enterprise,0
375,CUST00244,2025-06-14,signup,Basic,29
376,CUST00245,2024-02-08,signup,Enterprise,499
377,CUST00246,2024-10-22,signup,Basic,29
378,CUST00246,2025-06-19,upgrade,Pro,99
379,CUST00247,2023-07-18,signup,Basic,29
380,CUST00248,2024-07-05,signup,Pro,99
381,CUST00248,2024-09-03,cancel,Pro,0
382,CUST00249,2024-06-03,signup,Pro,99
383,CUST00249,2024-08-02,upgrade,Enterprise,499
384,CUST00250,2023-04-03,signup,Basic,29
385,CUST00250,2024-02-27,cancel,Basic,0
386,CUST00251,2025-02-18,signup,Basic,29
387,CUST00252,2023-11-28,signup,Enterprise,499
388,CUST00253,2023-06-19,signup,Basic,29
389,CUST00253,2024-07-13,cancel,Basic,0
390,CUST00254,2023-02-14,signup,Basic,29
391,CUST00254,2023-03-16,cancel,Basic,0
392,CUST00255,2024-08-09,signup,Pro,99
393,CUST00255,2024-12-07,cancel,Pro,0
394,CUST00256,2025-01-06,signup,Enterprise,499
395,CUST00257,2024-09-07,signup,Pro,99
396,CUST00258,2024-05-31,signup,Pro,99
397,CUST00258,2024-08-29,upgrade,Enterprise,499
398,CUST00259,2024-06-18,signup,Enterprise,499
399,CUST00260,2025-05-29,signup,Pro,99
400,CUST00261,2023-01-08,signup,Basic,29
401,CUST00262,2025-03-15,signup,Pro,99
402,CUST00262,2025-04-14,upgrade,Enterprise,499
403,CUST00263,2025-04-03,signup,Pro,99
404,CUST00264,2024-01-15,signup,Basic,29
405,CUST00264,2025-02-08,cancel,Basic,0
406,CUST00265,2024-09-05,signup,Pro,99
407,CUST00265,2024-10-05,cancel,Pro,0
408,CUST00266,2023-09-02,signup,Pro,99
409,CUST00267,2023-10-29,signup,Basic,29
410,CUST00267,2024-11-22,cancel,Basic,0
411,CUST00268,2023-04-30,signup,Pro,99
412,CUST00268,2023-10-27,cancel,Pro,0
413,CUST00269,2025-05-02,signup,Basic,29
414,CUST00270,2023-03-19,signup,Basic,29
415,CUST00270,2025-01-07,cancel,Basic,0
416,CUST00271,2024-05-08,signup,Pro,99
417,CUST00271,2025-01-03,upgrade,Enterprise,499
418,CUST00272,2023-11-20,signup,Basic,29
419,CUST00273,2025-01-08,signup,Basic,29
420,CUST00273,2025-06-07,cancel,Basic,0
421,CUST00274,2024-03-07,signup,Enterprise,499
422,CUST00275,2025-04-09,signup,Basic,29
423,CUST00276,2024-08-12,signup,Pro,99
424,CUST00277,2024-03-07,signup,Enterprise,499
425,CUST00278,2023-08-29,signup,Enterprise,499
426,CUST00278,2025-05-20,downgrade,Pro,99
427,CUST00279,2024-07-15,signup,Enterprise,499
428,CUST00280,2023-11-12,signup,Basic,29
429,CUST00281,2024-10-23,signup,Basic,29
430,CUST00282,2023-10-03,signup,Pro,99
431,CUST00282,2024-06-29,cancel,Pro,0
432,CUST00283,2023-04-15,signup,Basic,29
433,CUST00283,2024-05-09,cancel,Basic,0
434,CUST00284,2025-03-05,signup,Basic,29
435,CUST00285,2025-02-25,signup,Pro,99
436,CUST00285,2025-04-26,cancel,Pro,0
437,CUST00286,2024-04-16,signup,Basic,29
438,CUST00286,2024-10-13,cancel,Basic,0
439,CUST00287,2023-09-17,signup,Basic,29
440,CUST00287,2024-07-13,cancel,Basic,0
441,CUST00288,2023-02-13,signup,Pro,99
442,CUST00288,2023-11-10,downgrade,Basic,29
443,CUST00289,2024-07-10,signup,Pro,99
444,CUST00289,2024-10-08,cancel,Pro,0
445,CUST00290,2023-06-08,signup,Pro,99
446,CUST00290,2023-07-08,cancel,Pro,0
447,CUST00291,2024-10-15,signup,Enterprise,499
448,CUST00292,2024-05-24,signup,Basic,29
449,CUST00292,2024-09-21,cancel,Basic,0
450,CUST00293,2023-07-26,signup,Basic,29
451,CUST00293,2024-03-22,upgrade,Pro,99
452,CUST00293,2024-10-18,cancel,Pro,0
453,CUST00294,2025-06-30,signup,Pro,99
454,CUST00295,2023-09-30,signup,Enterprise,499
455,CUST00296,2023-11-19,signup,Enterprise,499
456,CUST00297,2023-08-16,signup,Pro,99
457,CUST00298,2024-09-01,signup,Pro,99
458,CUST00298,2024-10-01,upgrade,Enterprise,499
459,CUST00298,2024-10-31,downgrade,Pro,99
460,CUST00299,2024-09-08,signup,Pro,99
461,CUST00299,2024-11-07,upgrade,Enterprise,499
462,CUST00300,2024-04-01,signup,Basic,29
463,CUST00300,2024-09-28,cancel,Basic,0
464,CUST00301,2024-02-13,signup,Basic,29
465,CUST00301,2024-12-09,upgrade,Pro,99
466,CUST00302,2023-12-23,signup,Basic,29
467,CUST00303,2023-04-24,signup,Basic,29
468,CUST00303,2024-01-19,cancel,Basic,0
469,CUST00304,2024-06-23,signup,Basic,29
470,CUST00304,2024-08-22,cancel,Basic,0
471,CUST00305,2023-03-10,signup,Pro,99
472,CUST00305,2024-08-01,upgrade,Enterprise,499
473,CUST00306,2023-03-05,signup,Enterprise,499
474,CUST00307,2025-02-27,signup,Enterprise,499
475,CUST00308,2025-01-14,signup,Pro,99
476,CUST00309,2023-04-20,signup,Pro,99
477,CUST00309,2024-09-11,cancel,Pro,0
478,CUST00310,2023-08-16,signup,Enterprise,499
479,CUST00310,2025-03-08,downgrade,Pro,99
480,CUST00311,2024-06-15,signup,Pro,99
481,CUST00311,2024-09-13,cancel,Pro,0
482,CUST00312,2023-10-26,signup,Enterprise,499
483,CUST00313,2024-04-10,signup,Basic,29
484,CUST00314,2023-02-22,signup,Pro,99
485,CUST00314,2023-07-22,cancel,Pro,0
486,CUST00315,2025-02-22,signup,Pro,99
487,CUST00316,2024-11-06,signup,Basic,29
488,CUST00316,2024-12-06,cancel,Basic,0
489,CUST00317,2025-06-22,signup,Pro,99
490,CUST00318,2023-02-20,signup,Basic,29
491,CUST00318,2023-08-19,cancel,Basic,0
492,CUST00319,2023-06-15,signup,Pro,99
493,CUST00319,2023-12-12,upgrade,Enterprise,499
494,CUST00320,2023-03-31,signup,Enterprise,499
495,CUST00320,2024-07-23,cancel,Enterprise,0
496,CUST00321,2023-01-25,signup,Pro,99
497,CUST00321,2023-08-23,cancel,Pro,0
498,CUST00322,2023-09-18,signup,Basic,29
499,CUST00322,2024-10-12,cancel,Basic,0
500,CUST00323,2023-05-20,signup,Enterprise,499
501,CUST00324,2023-11-12,signup,Basic,29
502,CUST00324,2024-08-08,cancel,Basic,0
503,CUST00325,2024-03-30,signup,Enterprise,499
504,CUST00326,2023-01-05,signup,Pro,99
505,CUST00326,2023-07-04,cancel,Pro,0
506,CUST00327,2025-02-15,signup,Enterprise,499
507,CUST00328,2023-10-07,signup,Basic,29
508,CUST00328,2024-10-31,cancel,Basic,0
509,CUST00329,2023-01-30,signup,Basic,29
510,CUST00329,2024-02-24,upgrade,Pro,99
511,CUST00329,2024-09-21,downgrade,Basic,29
512,CUST00330,2024-11-12,signup,Enterprise,499
513,CUST00331,2023-05-11,signup,Pro,99
514,CUST00332,2025-04-21,signup,Basic,29
515,CUST00333,2024-11-07,signup,Basic,29
516,CUST00333,2025-02-05,cancel,Basic,0
517,CUST00334,2023-05-31,signup,Basic,29
518,CUST00334,2024-06-24,cancel,Basic,0
519,CUST00335,2024-06-06,signup,Basic,29
520,CUST00335,2024-09-04,cancel,Basic,0
521,CUST00336,2024-01-03,signup,Basic,29
522,CUST00336,2025-05-27,upgrade,Pro,99
523,CUST00336,2025-06-26,cancel,Pro,0
524,CUST00337,2025-01-08,signup,Enterprise,499
525,CUST00338,2024-09-10,signup,Pro,99
526,CUST00339,2024-08-13,signup,Enterprise,499
527,CUST00340,2023-04-01,signup,Pro,99
528,CUST00340,2023-08-29,upgrade,Enterprise,499
529,CUST00340,2024-07-24,downgrade,Pro,99
530,CUST00340,2024-12-21,downgrade,Basic,29
531,CUST00340,2025-03-21,cancel,Basic,0
532,CUST00341,2024-10-01,signup,Basic,29
533,CUST00341,2025-03-30,cancel,Basic,0
534,CUST00342,2023-04-25,signup,Enterprise,499
535,CUST00343,2023-11-05,signup,Enterprise,499
536,CUST00343,2024-05-03,cancel,Enterprise,0
537,CUST00344,2025-03-27,signup,Enterprise,499
538,CUST00345,2024-03-18,signup,Pro,99
539,CUST00346,2023-01-13,signup,Basic,29
540,CUST00346,2023-05-13,cancel,Basic,0
541,CUST00347,2023-04-05,signup,Enterprise,499
542,CUST00348,2023-03-03,signup,Basic,29
543,CUST00348,2024-03-27,upgrade,Pro,99
544,CUST00349,2024-03-22,signup,Enterprise,499
545,CUST00349,2024-05-21,cancel,Enterprise,0
546,CUST00350,2024-05-08,signup,Pro,99
547,CUST00350,2024-10-05,downgrade,Basic,29
548,CUST00350,2025-06-02,cancel,Basic,0
549,CUST00351,2024-01-29,signup,Basic,29
550,CUST00351,2024-12-24,upgrade,Pro,99
551,CUST00352,2023-02-07,signup,Pro,99
552,CUST00352,2023-12-04,upgrade,Enterprise,499
553,CUST00353,2025-04-03,signup,Pro,99
554,CUST00354,2023-05-21,signup,Enterprise,499
555,CUST00354,2024-03-16,downgrade,Pro,99
556,CUST00354,2024-08-13,cancel,Pro,0
557,CUST00355,2024-05-13,signup,Pro,99
558,CUST00355,2025-06-07,upgrade,Enterprise,499
559,CUST00356,2024-09-18,signup,Pro,99
